Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/elonmusk/status/1382239304097824768,1382239304097824768,@elonmusk,2021-04-14T07:48:25.000Z,Elon Musk @elonmusk · 2m Replying to  @PPathole  @SpaceX  and  @Tesla True. Ancient times … Had to flip CPU registers explicitly  as computer was so slow. 39 37 423, 423 likes,39 replies, 37 Retweets
https://mobile.twitter.com/i/topics/808713037230157824,808713037230157824,@APompliano,2021-04-13T12:24:53.000Z,Elon Musk Pomp @APompliano · 19h Elon Musk and Tesla are up almost 2x on their bitcoin purchase. 165 590 7.4K, 7488 likes,165 replies, 590 Retweets
https://mobile.twitter.com/DogecoinRise/status/1382222058646478851,1382222058646478851,@DogecoinRise,2021-04-14T06:39:53.000Z,Dogecoin Rise @DogecoinRise · 1h Thank You For Telling Us  @elonmusk  #DogecoinRise Elon Musk @elonmusk  · Apr 10 … going to moon very soon 7 83 367, 367 likes,7 replies, 83 Retweets
https://mobile.twitter.com/i/topics/808713037230157824,808713037230157824,@Erdayastronaut,2021-04-13T19:27:18.000Z,Elon Musk Everyday Astronaut @Erdayastronaut · 12h Replying to  @elonmusk  and  @Tesla I’ve always been a huge fan of the mobile repairs. That should be expanded because it’s the best part of Tesla’s service by far. Granted many things can’t be done mobile  but those that can are so great for the customer. 64 48 3.8K, 3895 likes,64 replies, 48 Retweets
https://mobile.twitter.com/i/topics/808713037230157824,808713037230157824,@GerberKawasaki,2021-04-13T15:22:21.000Z,Elon Musk Ross Gerber @GerberKawasaki · 16h Tesla shareholders feeling good about the 48 000 bitcoin on the balance sheet.  @elonmusk  is close to doubling our money on this investment. Love it. Tesla up almost 2 Gordons now. $tsla 85 182 2.7K, 2706 likes,85 replies, 182 Retweets
https://mobile.twitter.com/TokyoDilf/status/1382176423339823107,1382176423339823107,@TokyoDilf,2021-04-14T03:38:33.000Z,T҉o҉k҉y҉o҉ ҉D҉I҉L҉F҉ @TokyoDilf · 4h Elon Musk and Grimes 1 26 209, 209 likes,0 replies, 26 Retweets
https://mobile.twitter.com/Bro_Pair/status/1382133592101249024,1382133592101249024,@Bro_Pair,2021-04-14T00:48:21.000Z,Dan O'Sullivan ( COMING SOON TO GHOST ) @Bro_Pair · 7h I think it's sweet that Grimes and Elon Musk found each other (the two stupidest human beings alive) 6 26 480, 480 likes,6 replies, 26 Retweets
https://mobile.twitter.com/Daily_Express/status/1382238641930518530,1382238641930518530,@Daily_Express,2021-04-14T07:45:47.000Z,Daily Express @Daily_Express · 4m Elon Musk nightmare: SpaceX sparks 'red alert' after nearly crashing into UK satellite #ElonMusk Elon Musk nightmare: SpaceX sparks 'red alert' after nearly crashing into UK satellite ELON MUSK suffered a major embarrassment when his SpaceX satellite sparked a 'red alert' warning after coming within just 60 metres of crashing into a UK-backed satellite. express.co.uk 1 3, 3 likes,0 replies,0 Retweets
https://mobile.twitter.com/dakotawint/status/1382104435527143424,1382104435527143424,@dakotawint,2021-04-13T22:52:30.000Z,dakota of earth @dakotawint · 8h am i the only one that wonders wtf grimes and elon musk talk about 23 71 529, 529 likes,23 replies, 71 Retweets
https://mobile.twitter.com/itsALLrisky/status/1382157757814427648,1382157757814427648,@itsALLrisky,2021-04-14T02:24:23.000Z,@itsALLrisky · 5h This is a BIG THANK YOU to  @ElonMusk  for being such an inspiration and for bringing the #DogeArmy together!  WE LOVE YOU! #Dogecoin 67 433 1.6K, 1675 likes,67 replies, 433 Retweets
https://mobile.twitter.com/i/topics/808713037230157824,808713037230157824,@elonmusk,2021-04-13T19:25:11.000Z,Elon Musk Elon Musk @elonmusk · 12h Replying to  @Erdayastronaut  and  @Tesla Tesla is building up collision repair capability to help address the grief that you went through  but usually insurance companies make you go their “approved” collision repair partners. Tesla Insurance will make it smooth sailing. 1.1K 1.1K 24.1K, 24153 likes,1159 replies, 1176 Retweets
https://mobile.twitter.com/badonkkadonks/status/1382179674357256200,1382179674357256200,@badonkkadonks,2021-04-14T03:51:28.000Z,petey @badonkkadonks · 3h Elon Musk’s final form 1 3, 3 likes,0 replies,0 Retweets
https://mobile.twitter.com/RogerMalcolm17/status/1382182933738455042,1382182933738455042,@RogerMalcolm17,2021-04-14T04:04:25.000Z,Roger Malcolm @RogerMalcolm17 · 3h @elonmusk  SOGE is making Space NFT's $SOGE I LOVE THIS ITEM - SOGE | OpenSea WE LOVE IT TOO opensea.io 42 656 660 Show this thread, 660 likes,42 replies, 656 Retweets
https://mobile.twitter.com/hakobmur/status/1382133604877148161,1382133604877148161,@hakobmur,2021-04-14T00:48:24.000Z,Hakob Muradyan @hakobmur · 7h All time high. We are on the top. And will be always. Thanks #dogecoin family.  @elonmusk   lets fucking go to that moon  2 5, 5 likes,0 replies,2 Retweets
https://mobile.twitter.com/AaronHirsch18/status/1382155034360741891,1382155034360741891,@AaronHirsch18,2021-04-14T02:13:34.000Z,Aaron Hirsch @AaronHirsch18 · 5h Real soon I will be able to purchase my #cybertruck with less than one $btc or 900 000 $doge.  @elonmusk   when will you be accepting $doge?  Woohoo!  @AaronHirsch18 1 2, 2 likes,0 replies,0 Retweets
https://mobile.twitter.com/josephaluminum/status/1382236327609962499,1382236327609962499,@josephaluminum,2021-04-14T07:36:35.000Z,Joseph reynolds @josephaluminum · 13m Hey  @elonmusk  when can I buy a  Cybertruck with #dogecoin 4,4 likes,0 replies,0 Retweets
https://mobile.twitter.com/i/topics/808713037230157824,808713037230157824,@elonmusk,2021-04-14T00:41:45.000Z,Elon Musk Elon Musk @elonmusk · 7h Replying to  @Erdayastronaut  and  @Tesla Absolutely 347 192 4.4K, 4411 likes,347 replies, 192 Retweets
https://mobile.twitter.com/Mallasani/status/1382147167402491907,1382147167402491907,@Mallasani,2021-04-14T01:42:18.000Z,venkat @Mallasani · 6h When do we get Tesla insurance in DC metro area  so many Tesla vehicles  @elonmusk  @Tesla Elon Musk @elonmusk  · 12h Replying to @Erdayastronaut and @Tesla Tesla is building up collision repair capability to help address the grief that you went through  but usually insurance companies make you go their “approved” collision repair partners. Tesla Insurance will make it smooth sailing.,0 likes,0 replies,0 Retweets
https://mobile.twitter.com/Joe_MainMixon/status/1382153480966578177,1382153480966578177,@Joe_MainMixon,2021-04-14T02:07:23.000Z,Primetime!!! @Joe_MainMixon · 5h INVEST IN DOGECOIN   @elonmusk   #DOGETOTHEMOON 37 108 696, 696 likes,37 replies, 108 Retweets
https://mobile.twitter.com/ForearmN/status/1382239693526290433,1382239693526290433,@ForearmN,2021-04-14T07:49:58.000Z,ForearmNut @ForearmN · 37s DogeNatra favorite hit song  & it goes like this: “Fly me to the moon Let me play among the stars Let me see what spring is like on A-Jupiter and Mars In other words  hodl my coins...” #MattWallace888  #ElonMusk,0 likes,0 replies,0 Retweets
https://mobile.twitter.com/techmass3/status/1382239724392288256,1382239724392288256,@techmass3,2021-04-14T07:50:05.000Z,techmass @techmass3 · 30s #RT  @elonmusk :  @PPathole  @SpaceX  @Tesla  True. Ancient times … Had to flip CPU registers explicitly  as computer was so slow.,0 likes,0 replies,0 Retweets
https://mobile.twitter.com/Bornwithadarkt1/status/1382115936363249672,1382115936363249672,@Bornwithadarkt1,2021-04-13T23:38:12.000Z,Bornwithadarktan @Bornwithadarkt1 · 8h Elon musk is building rockets to get his wife home BuzzFeed @BuzzFeed  · Apr 12 we're back with more Grimes news lol Show this thread 1 9, 9 likes,0 replies,0 Retweets
https://mobile.twitter.com/LuisSantana/status/1382221342167207937,1382221342167207937,@LuisSantana,2021-04-14T06:37:03.000Z,Luis Santana @LuisSantana · 1h Anxiously awaiting a #dogecoin tweet from the #DogeFather  @elonmusk  for that late night pump.  1 6 18, 18 likes,0 replies, 6 Retweets
https://mobile.twitter.com/wsbpage/status/1382229039490928641,1382229039490928641,@wsbpage,2021-04-14T07:07:38.000Z,WallStreetBets @wsbpage · 42m When Elon Musk drops the meme  #Dogecoin is heading past $0.20 make no mistake about it 19 58 203, 203 likes,19 replies, 58 Retweets
https://mobile.twitter.com/YungJ209/status/1382202473641775105,1382202473641775105,@YungJ209,2021-04-14T05:22:04.000Z,Yung J @YungJ209 · 2h Thank you  @elonmusk  . Motivated me to buy in #dogecoin  2 10, 10 likes,0 replies,2 Retweets
https://mobile.twitter.com/SpaceIsLifeOkay/status/1382148152791302144,1382148152791302144,@SpaceIsLifeOkay,2021-04-14T01:46:13.000Z,DogeUniverse @SpaceIsLifeOkay · 6h SpaceX goes to the moon   congratulations  @SpaceX  @elonmusk Thomas Burghardt @TGMetsFan98  · 18h Astrobotic selects SpaceX Falcon Heavy to launch the Griffin robotic moon lander in 2023. The lander will carry NASA’s VIPER rover as part of the Commercial Lunar Payload Services (CLPS) program. twitter.com/astrobotic/sta… Show this thread 1,0 likes,0 replies,0 Retweets
https://mobile.twitter.com/GanigaKartik/status/1382133075358851074,1382133075358851074,@GanigaKartik,2021-04-14T00:46:18.000Z,@ZeroX_K @GanigaKartik · 7h #dogecoin #DogecoinRise  @elonmusk   History created  We hodl  1 2, 2 likes,0 replies,0 Retweets
https://mobile.twitter.com/NapeMango/status/1382158945205239809,1382158945205239809,@NapeMango,2021-04-14T02:29:06.000Z,Nape Mango @NapeMango · 5h NFTs They fuck up the whole environment NFTs You say they’re fine but I ain’t buyin’ it NFTs More emissions than a thousand cars NFTs Elon Musk will just retreat to Mars GIF 2 27 87 Show this thread, 87 likes,2 replies, 27 Retweets
https://mobile.twitter.com/HadleyCheryl/status/1382185262940295168,1382185262940295168,@HadleyCheryl,2021-04-14T04:13:41.000Z,Cheryl Hadley @HadleyCheryl · 3h Just cashed in my #Doge. Had a return of like six times my initial investment. Thank you   @brennanhadley  and  @elonmusk  for the great tip a couple of months ago! 1,0 likes,0 replies,0 Retweets
